outgoing,outgoing_slot,position,outgoing_md1_points,outgoing_md2_price_m,cash_before_m,max_replacement_price_m,candidate,candidate_md1_points,candidate_md1_price_m,candidate_md2_price_m,candidate_movement_m,candidate_points_per_md2_m,cash_after_m,points_gain_vs_outgoing
Michael Olise,starter,MID,325,37.57,3.82,41.39,Rocco Reitz,226,12.30,12.44,+0.14,18.17,28.95,-99
Michael Olise,starter,MID,325,37.57,3.82,41.39,Giannis Konstantelias,224,11.84,11.93,+0.09,18.78,29.46,-101
Michael Olise,starter,MID,325,37.57,3.82,41.39,Kaishu Sano,215,13.91,14.00,+0.09,15.36,27.39,-110
Michael Olise,starter,MID,325,37.57,3.82,41.39,Ibrahim Maza,205,16.04,16.12,+0.08,12.72,25.27,-120
Michael Olise,starter,MID,325,37.57,3.82,41.39,Ismael Saibari,205,17.23,17.28,+0.05,11.86,24.11,-120
Michael Olise,starter,MID,325,37.57,3.82,41.39,Jobe Bellingham,194,7.47,7.60,+0.13,25.53,33.79,-131
Michael Olise,starter,MID,325,37.57,3.82,41.39,Hennes Behrens,192,10.76,10.33,-0.43,18.59,31.06,-133
Michael Olise,starter,MID,325,37.57,3.82,41.39,Brajan Gruda,174,12.63,12.69,+0.06,13.71,28.70,-151
Michael Olise,starter,MID,325,37.57,3.82,41.39,Ísak Jóhannesson,171,4.52,4.65,+0.13,36.77,36.74,-154
Michael Olise,starter,MID,325,37.57,3.82,41.39,Tim Skarke,169,3.51,3.60,+0.09,46.94,37.79,-156
Michael Olise,starter,MID,325,37.57,3.82,41.39,Dariusz Stalmach,166,2.67,2.88,+0.21,57.64,38.51,-159
Michael Olise,starter,MID,325,37.57,3.82,41.39,Leon Avdullahu,163,11.58,11.63,+0.05,14.02,29.76,-162
Michael Olise,starter,MID,325,37.57,3.82,41.39,Aleix García,162,21.17,21.14,-0.03,7.66,20.25,-163
Michael Olise,starter,MID,325,37.57,3.82,41.39,Nicolas Capaldo,156,9.01,9.08,+0.07,17.18,32.31,-169
Michael Olise,starter,MID,325,37.57,3.82,41.39,Nadiem Amiri,155,20.49,20.45,-0.04,7.58,20.94,-170
Michael Olise,starter,MID,325,37.57,3.82,41.39,Raphael Obermair,136,5.59,5.74,+0.15,23.69,35.65,-189
Michael Olise,starter,MID,325,37.57,3.82,41.39,Hugo Bolin,134,7.16,7.26,+0.10,18.46,34.13,-191
Michael Olise,starter,MID,325,37.57,3.82,41.39,Nicolas Seiwald,134,10.20,10.22,+0.02,13.11,31.17,-191
Michael Olise,starter,MID,325,37.57,3.82,41.39,Patrick Wimmer,128,11.30,11.30,+0.00,11.33,30.09,-197
Michael Olise,starter,MID,325,37.57,3.82,41.39,Felix Nmecha,128,12.27,12.27,+0.00,10.43,29.12,-197
Michael Olise,starter,MID,325,37.57,3.82,41.39,Malik Tillman,127,11.76,11.76,+0.00,10.80,29.63,-198
Michael Olise,starter,MID,325,37.57,3.82,41.39,Ezequiel Fernández,116,9.55,9.55,+0.00,12.15,31.84,-209
Michael Olise,starter,MID,325,37.57,3.82,41.39,Yannick Engelhardt,106,9.97,9.95,-0.02,10.65,31.44,-219
Michael Olise,starter,MID,325,37.57,3.82,41.39,Woo-yeong Jeong,103,5.32,5.33,+0.01,19.32,36.06,-222
Michael Olise,starter,MID,325,37.57,3.82,41.39,Ludovit Reis,102,8.10,8.10,+0.00,12.59,33.29,-223
Michael Olise,starter,MID,325,37.57,3.82,41.39,Wouter Burger,98,15.51,15.43,-0.08,6.35,25.96,-227
Michael Olise,starter,MID,325,37.57,3.82,41.39,Wael Mohya,96,7.68,7.67,-0.01,12.52,33.72,-229
Michael Olise,starter,MID,325,37.57,3.82,41.39,Jae-sung Lee,96,9.50,9.48,-0.02,10.13,31.91,-229
Michael Olise,starter,MID,325,37.57,3.82,41.39,Fares Chaïbi,96,10.43,10.40,-0.03,9.23,30.99,-229
Michael Olise,starter,MID,325,37.57,3.82,41.39,Laurin Ulrich,95,3.88,3.95,+0.07,24.05,37.44,-230
Michael Olise,starter,MID,325,37.57,3.82,41.39,Łukasz Poręba,92,2.71,2.81,+0.10,32.74,38.58,-233
Michael Olise,starter,MID,325,37.57,3.82,41.39,Mattes Hansen,92,2.78,2.87,+0.09,32.06,38.52,-233
Michael Olise,starter,MID,325,37.57,3.82,41.39,Linton Maina,91,5.72,5.72,+0.00,15.91,35.67,-234
Michael Olise,starter,MID,325,37.57,3.82,41.39,Albert Sambi Lokonga,90,8.51,8.49,-0.02,10.60,32.90,-235
Michael Olise,starter,MID,325,37.57,3.82,41.39,Albert Grønbæk,88,6.61,6.61,+0.00,13.31,34.78,-237
Michael Olise,starter,MID,325,37.57,3.82,41.39,Robin Fellhauer,83,8.55,8.52,-0.03,9.74,32.87,-242
Michael Olise,starter,MID,325,37.57,3.82,41.39,Janik Haberer,73,3.40,3.40,+0.00,21.47,37.99,-252
Michael Olise,starter,MID,325,37.57,3.82,41.39,Chuki,66,6.44,6.37,-0.07,10.36,35.02,-259
Michael Olise,starter,MID,325,37.57,3.82,41.39,András Schäfer,62,7.15,7.12,-0.03,8.71,34.27,-263
Michael Olise,starter,MID,325,37.57,3.82,41.39,Jonas Hofmann,62,8.09,8.07,-0.02,7.68,33.32,-263
Michael Olise,starter,MID,325,37.57,3.82,41.39,Mathieu Nguefack,57,3.68,3.67,-0.01,15.53,37.72,-268
Michael Olise,starter,MID,325,37.57,3.82,41.39,Raphael Onyedika,57,14.77,14.65,-0.12,3.89,26.74,-268
Michael Olise,starter,MID,325,37.57,3.82,41.39,Aljoscha Kemlein,54,5.71,5.68,-0.03,9.51,35.71,-271
Michael Olise,starter,MID,325,37.57,3.82,41.39,Robin Hack,49,7.69,7.62,-0.07,6.43,33.77,-276
Michael Olise,starter,MID,325,37.57,3.82,41.39,Marcel Sabitzer,49,7.88,7.85,-0.03,6.24,33.54,-276
Michael Olise,starter,MID,325,37.57,3.82,41.39,Michel Aebischer,46,7.82,7.76,-0.06,5.93,33.63,-279
Michael Olise,starter,MID,325,37.57,3.82,41.39,Martin Adeline,46,10.50,10.42,-0.08,4.41,30.97,-279
Michael Olise,starter,MID,325,37.57,3.82,41.39,Kevin Stöger,44,7.20,7.15,-0.05,6.15,34.24,-281
Michael Olise,starter,MID,325,37.57,3.82,41.39,Tom Bischof,37,16.88,16.85,-0.03,2.20,24.54,-288
Michael Olise,starter,MID,325,37.57,3.82,41.39,Mert Kömür,35,7.75,7.73,-0.02,4.53,33.66,-290
Michael Olise,starter,MID,325,37.57,3.82,41.39,Senne Lynen,26,11.14,11.06,-0.08,2.35,30.33,-299
Michael Olise,starter,MID,325,37.57,3.82,41.39,Yannik Keitel,21,3.79,3.78,-0.01,5.56,37.61,-304
Michael Olise,starter,MID,325,37.57,3.82,41.39,Joey Veerman,21,14.77,14.71,-0.06,1.43,26.68,-304
Michael Olise,starter,MID,325,37.57,3.82,41.39,Tom Baack,19,3.02,3.01,-0.01,6.31,38.38,-306
Michael Olise,starter,MID,325,37.57,3.82,41.39,Bilal Nadir,17,5.47,5.45,-0.02,3.12,35.94,-308
Michael Olise,starter,MID,325,37.57,3.82,41.39,Arthur Vermeeren,17,10.96,10.93,-0.03,1.56,30.46,-308
Michael Olise,starter,MID,325,37.57,3.82,41.39,Andrej Kramarić,17,12.50,12.48,-0.02,1.36,28.91,-308
Michael Olise,starter,MID,325,37.57,3.82,41.39,Noah Darvich,11,4.43,4.39,-0.04,2.51,37.00,-314
Michael Olise,starter,MID,325,37.57,3.82,41.39,Patrice Čović,10,3.33,3.32,-0.01,3.01,38.07,-315
Michael Olise,starter,MID,325,37.57,3.82,41.39,Nathan De Cat,10,11.28,11.22,-0.06,0.89,30.17,-315
Michael Olise,starter,MID,325,37.57,3.82,41.39,Lennart Karl,7,17.26,17.22,-0.04,0.41,24.17,-318
Michael Olise,starter,MID,325,37.57,3.82,41.39,Oscar Højlund,6,5.16,5.14,-0.02,1.17,36.25,-319
Michael Olise,starter,MID,325,37.57,3.82,41.39,Chema,1,10.55,10.53,-0.02,0.09,30.86,-324
Michael Olise,starter,MID,325,37.57,3.82,41.39,Faik Sakar,0,,3.42,,0.00,37.97,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Kennet Eichhorn,0,,11.36,,0.00,30.03,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Marco Richter,0,,2.35,,0.00,39.04,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Robert Skov,0,,4.45,,0.00,36.94,-325
